Year,StateAbbr,StateDesc,CityName,GeographicLevel,Category,UniqueID,Measure,Data_Value,GeoLocation,MeasureId,TractFIPS,Lat,Lng
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001842,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.1,"(30.3755684675, -97.6313378757)",HIGHCHOL,48453001842,30.3755684675, -97.6313378757
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001501,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.7,"(30.3465767365, -97.7433025334)",HIGHCHOL,48453001501,30.3465767365, -97.7433025334
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002425,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.5,"(30.157617531, -97.7842795909)",HIGHCHOL,48453002425,30.157617531, -97.7842795909
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001754,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.3,"(30.4065557514, -97.7373059981)",HIGHCHOL,48453001754,30.4065557514, -97.7373059981
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002402,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.9,"(30.2016967544, -97.7751694038)",HIGHCHOL,48453002402,30.2016967544, -97.7751694038
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001770,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.6,"(30.1897730385, -97.8909285606)",HIGHCHOL,48453001770,30.1897730385, -97.8909285606
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001820,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.5,"(30.3718015582, -97.7148159897)",HIGHCHOL,48453001820,30.3718015582, -97.7148159897
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020410,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.4,"(30.4369838283, -97.7616139549)",HIGHCHOL,48491020410,30.4369838283, -97.7616139549
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001752,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,18.6,"(30.3576197191, -97.7498287811)",HIGHCHOL,48453001752,30.3576197191, -97.7498287811
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001911,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,20.3,"(30.2584881046, -97.7858836263)",HIGHCHOL,48453001911,30.2584881046, -97.7858836263
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002110,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,31.1,"(30.2741418689, -97.677459415)",HIGHCHOL,48453002110,30.2741418689, -97.677459415
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001308,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.1,"(30.2325448034, -97.7618787936)",HIGHCHOL,48453001308,30.2325448034, -97.7618787936
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000204,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.1,"(30.3071669724, -97.7444637729)",HIGHCHOL,48453000204,30.3071669724, -97.7444637729
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020316,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,,"(30.4767287286, -97.8094310538)",HIGHCHOL,48491020316,30.4767287286, -97.8094310538
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002002,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.5,"(30.2229526115, -97.7848718292)",HIGHCHOL,48453002002,30.2229526115, -97.7848718292
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000601,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,10.3,"(30.2874118835, -97.7380441813)",HIGHCHOL,48453000601,30.2874118835, -97.7380441813
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001728,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.9,"(30.1957498764, -97.816558213)",HIGHCHOL,48453001728,30.1957498764, -97.816558213
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002422,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.6,"(30.1834376979, -97.7848162066)",HIGHCHOL,48453002422,30.1834376979, -97.7848162066
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001845,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.4,"(30.3924931419, -97.6904359465)",HIGHCHOL,48453001845,30.3924931419, -97.6904359465
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001835,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.1,"(30.3868001522, -97.661485146)",HIGHCHOL,48453001835,30.3868001522, -97.661485146
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002313,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.4,"(30.2201787759, -97.7259170867)",HIGHCHOL,48453002313,30.2201787759, -97.7259170867
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001200,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.6,"(30.2737247917, -97.7601218266)",HIGHCHOL,48453001200,30.2737247917, -97.7601218266
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001828,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.8,"(30.4215882992, -97.7237244649)",HIGHCHOL,48453001828,30.4215882992, -97.7237244649
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001707,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.0,"(30.3727904254, -97.746340078)",HIGHCHOL,48453001707,30.3727904254, -97.746340078
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48209010901,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,,"(30.1541323147, -97.9083324997)",HIGHCHOL,48209010901,30.1541323147, -97.9083324997
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002433,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.9,"(30.1912019968, -97.6172300469)",HIGHCHOL,48453002433,30.1912019968, -97.6172300469
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001503,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.4,"(30.3272588203, -97.7157698879)",HIGHCHOL,48453001503,30.3272588203, -97.7157698879
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000205,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.7,"(30.3261617411, -97.7343170626)",HIGHCHOL,48453000205,30.3261617411, -97.7343170626
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002113,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.3,"(30.3170432569, -97.6725319322)",HIGHCHOL,48453002113,30.3170432569, -97.6725319322
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001740,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.7,"(30.1918324264, -97.8568183613)",HIGHCHOL,48453001740,30.1918324264, -97.8568183613
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000804,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.9,"(30.2700913502, -97.7219450124)",HIGHCHOL,48453000804,30.2700913502, -97.7219450124
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002108,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.6,"(30.2973106702, -97.6691253437)",HIGHCHOL,48453002108,30.2973106702, -97.6691253437
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001849,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,18.7,"(30.394644055, -97.7201266116)",HIGHCHOL,48453001849,30.394644055, -97.7201266116
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001782,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.7,"(30.429373646, -97.7930268848)",HIGHCHOL,48453001782,30.429373646, -97.7930268848
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001760,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.0,"(30.3654663308, -97.8837872622)",HIGHCHOL,48453001760,30.3654663308, -97.8837872622
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002429,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,20.0,"(30.1675109092, -97.7735753064)",HIGHCHOL,48453002429,30.1675109092, -97.7735753064
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002410,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.6,"(30.2057644766, -97.786665428)",HIGHCHOL,48453002410,30.2057644766, -97.786665428
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001753,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,18.6,"(30.3908023394, -97.7388705343)",HIGHCHOL,48453001753,30.3908023394, -97.7388705343
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001857,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,,"(30.4542409169, -97.6658834326)",HIGHCHOL,48453001857,30.4542409169, -97.6658834326
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002208,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.6,"(30.2806565747, -97.6516820949)",HIGHCHOL,48453002208,30.2806565747, -97.6516820949
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001748,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.8,"(30.1706708363, -97.8390678065)",HIGHCHOL,48453001748,30.1706708363, -97.8390678065
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001821,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.1,"(30.3809891862, -97.7086033499)",HIGHCHOL,48453001821,30.3809891862, -97.7086033499
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001804,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.2,"(30.3419421909, -97.7073262607)",HIGHCHOL,48453001804,30.3419421909, -97.7073262607
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001604,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.7,"(30.3028790531, -97.7732678485)",HIGHCHOL,48453001604,30.3028790531, -97.7732678485
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001813,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.1,"(30.3451653645, -97.6875073111)",HIGHCHOL,48453001813,30.3451653645, -97.6875073111
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000306,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.5,"(30.2971560125, -97.7002733875)",HIGHCHOL,48453000306,30.2971560125, -97.7002733875
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002419,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,22.8,"(30.1912903693, -97.7609152432)",HIGHCHOL,48453002419,30.1912903693, -97.7609152432
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001722,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.4,"(30.3989182191, -97.7531633887)",HIGHCHOL,48453001722,30.3989182191, -97.7531633887
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020508,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.5,"(30.4884625037, -97.7760368725)",HIGHCHOL,48491020508,30.4884625037, -97.7760368725
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001304,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.9,"(30.2484064505, -97.7734337153)",HIGHCHOL,48453001304,30.2484064505, -97.7734337153
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001775,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.7,"(30.1713278537, -97.8989705285)",HIGHCHOL,48453001775,30.1713278537, -97.8989705285
