Total 18+ Population,Total 18+ Male Population,Total Male 18 to 24 years,Total Male 18 to 24 years Less than 9th grade,"Total Male 18 to 24 years 9th to 12th grade, no diploma",Total Male 18 to 24 years High school graduate,"Total Male 18 to 24 years Some college, no degree",Total Male 18 to 24 years Associate's degree,Total Male 18 to 24 years Bachelor's degree,Total Male 18 to 24 years Graduate or professional degree,Total Male 25 to 34 years,Total Male 25 to 34 years Less than 9th grade,"Total Male 25 to 34 years 9th to 12th grade, no diploma",Total Male 25 to 34 years High school graduate,"Total Male 25 to 34 years Some college, no degree",Total Male 25 to 34 years Associate's degree,Total Male 25 to 34 years Bachelor's degree,Total Male 25 to 34 years Graduate or professional degree,Total Male 35 to 44 years,Total Male 35 to 44 years Less than 9th grade,"Total Male 35 to 44 years 9th to 12th grade, no diploma",Total Male 35 to 44 years High school graduate,"Total Male 35 to 44 years Some college, no degree",Total Male 35 to 44 years Associate's degree,Total Male 35 to 44 years Bachelor's degree,Total Male 35 to 44 years Graduate or professional degree,Total Male 45 to 64 years,Total Male 45 to 64 years Less than 9th grade,"Total Male 45 to 64 years 9th to 12th grade, no diploma",Total Male 45 to 64 years High school graduate,"Total Male 45 to 64 years Some college, no degree",Total Male 45 to 64 years Associate's degree,Total Male 45 to 64 years Bachelor's degree,Total Male 45 to 64 years Graduate or professional degree,Total Male 65 years and over,Total Male 65 years and over Less than 9th grade,"Total Male 65 years and over 9th to 12th grade, no diploma",Total Male 65 years and over High school graduate,"Total Male 65 years and over Some college, no degree",Total Male 65 years and over Associate's degree,Total Male 65 years and over Bachelor's degree,Total Male 65 years and over Graduate or professional degree,Total 18+ Female Population,Total Female 18 to 24 years,Total Female 18 to 24 years Less than 9th grade,"Total Female 18 to 24 years 9th to 12th grade, no diploma",Total Female 18 to 24 years High school graduate,"Total Female 18 to 24 years Some college, no degree",Total Female 18 to 24 years Associate's degree,Total Female 18 to 24 years Bachelor's degree,Total Female 18 to 24 years Graduate or professional degree,Total Female 25 to 34 years,Total Female 25 to 34 years Less than 9th grade,"Total Female 25 to 34 years 9th to 12th grade, no diploma",Total Female 25 to 34 years High school graduate,"Total Female 25 to 34 years Some college, no degree",Total Female 25 to 34 years Associate's degree,Total Female 25 to 34 years Bachelor's degree,Total Female 25 to 34 years Graduate or professional degree,Total Female 35 to 44 years,Total Female 35 to 44 years Less than 9th grade,"Total Female 35 to 44 years 9th to 12th grade, no diploma",Total Female 35 to 44 years High school graduate,"Total Female 35 to 44 years Some college, no degree",Total Female 35 to 44 years Associate's degree,Total Female 35 to 44 years Bachelor's degree,Total Female 35 to 44 years Graduate or professional degree,Total Female 45 to 64 years,Total Female 45 to 64 years Less than 9th grade,"Total Female 45 to 64 years 9th to 12th grade, no diploma",Total Female 45 to 64 years High school graduate,"Total Female 45 to 64 years Some college, no degree",Total Female 45 to 64 years Associate's degree,Total Female 45 to 64 years Bachelor's degree,Total Female 45 to 64 years Graduate or professional degree,Total Female 65 years and over,Total Female 65 years and over Less than 9th grade,"Total Female 65 years and over 9th to 12th grade, no diploma",Total Female 65 years and over High school graduate,"Total Female 65 years and over Some college, no degree",Total Female 65 years and over Associate's degree,Total Female 65 years and over Bachelor's degree,Total Female 65 years and over Graduate or professional degree,GEO_ID,Census Tract
3430,1511,162,10,0,53,32,0,67,0,308,0,0,0,0,8,207,93,316,0,20,20,22,0,83,171,479,0,0,26,32,9,218,194,246,9,9,18,28,9,55,118,1919,110,0,7,0,76,0,27,0,456,0,0,19,86,0,210,141,350,0,0,22,25,0,175,128,493,0,0,29,40,0,233,191,510,0,11,47,94,0,133,225,1400000,48453000101
2058,940,51,0,13,0,38,0,0,0,47,0,0,0,21,0,8,18,147,0,0,0,15,0,66,66,414,2,0,32,36,6,171,167,281,0,0,0,7,10,65,199,1118,65,0,1,16,41,0,7,0,60,0,8,0,18,0,17,17,171,0,2,12,2,0,115,40,530,3,0,21,79,0,225,202,292,9,0,19,62,0,94,108,1400000,48453000102
1493,727,179,9,0,11,63,0,90,6,312,7,5,19,25,6,160,90,66,0,0,7,10,10,24,15,138,5,0,0,16,0,56,61,32,0,3,0,10,0,0,19,766,372,0,14,12,210,0,127,9,266,0,17,0,20,0,164,65,15,0,0,0,0,0,0,15,68,11,0,26,6,0,6,19,45,0,0,0,19,0,17,9,1400000,48453000203
2626,1551,336,0,0,65,217,0,54,0,426,10,0,36,101,21,179,79,222,0,0,18,48,0,69,87,367,0,14,33,49,0,97,174,200,11,9,0,27,0,57,96,1075,94,0,6,0,51,0,37,0,287,0,0,11,15,6,198,57,198,0,0,1,10,10,102,75,341,0,0,12,27,7,137,158,155,0,0,32,9,0,45,69,1400000,48453000204
3526,1917,108,0,0,8,18,0,82,0,866,0,15,34,99,0,596,122,322,0,0,43,15,0,158,106,439,0,108,61,63,0,87,120,182,0,22,70,0,48,25,17,1609,97,0,0,21,20,11,45,0,773,0,0,0,80,0,433,260,285,0,0,0,0,0,109,176,322,9,0,42,59,16,144,52,132,20,0,77,0,20,15,0,1400000,48453000205
2778,1390,98,0,0,19,58,0,21,0,515,0,0,16,101,14,245,139,291,0,0,76,78,0,69,68,341,11,0,18,33,33,81,165,145,0,10,43,15,0,38,39,1388,104,0,0,21,19,26,38,0,420,0,0,0,33,0,206,181,222,0,0,0,22,6,64,130,400,11,0,33,38,34,163,121,242,0,10,55,11,0,65,101,1400000,48453000206
4507,2293,292,0,0,10,201,0,71,10,839,29,0,59,61,60,289,341,336,0,0,34,68,16,127,91,591,0,0,104,74,0,230,183,235,0,17,57,38,0,37,86,2214,433,0,7,57,245,31,61,32,969,0,0,149,75,0,479,266,376,0,0,54,18,17,196,91,330,0,0,17,23,20,116,154,106,0,0,26,17,0,34,29,1400000,48453000302
2658,1392,304,0,0,19,131,34,114,6,601,0,0,0,92,7,278,224,270,0,0,16,60,15,131,48,141,0,0,7,10,9,83,32,76,18,0,11,0,0,31,16,1266,219,0,10,30,65,0,114,0,539,0,0,19,65,10,254,191,177,0,0,0,38,0,81,58,226,0,24,58,10,0,102,32,105,35,0,35,10,0,16,9,1400000,48453000304
3264,1585,124,0,8,0,47,0,61,8,682,0,9,55,92,8,404,114,293,34,6,39,21,8,128,57,373,0,0,44,70,0,134,125,113,0,8,0,31,0,65,9,1679,467,7,10,19,291,5,127,8,666,0,25,36,82,18,281,224,238,0,0,10,7,34,86,101,251,0,0,29,83,0,72,67,57,0,0,12,14,0,16,15,1400000,48453000305
3952,1846,106,0,0,32,32,0,37,5,528,0,0,70,48,29,229,152,495,0,0,67,6,9,217,196,591,26,37,72,105,8,121,222,126,0,17,0,0,31,31,47,2106,436,0,50,32,215,0,133,6,536,0,39,39,61,18,162,217,438,0,0,33,71,0,111,223,458,10,0,53,81,67,71,176,238,0,0,26,58,0,85,69,1400000,48453000306
