,Total Population,Total Male,Total Female,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander population,Some Other Race Population,GEO_ID,Census Tract
1,0,0,0,0,0,0,0,0,0,1400000,48453980000
2,2424,1234,1190,1869,341,29,143,0,111,1400000,48453000901
3,3400,1458,1942,2481,848,10,163,29,53,1400000,48453000402
4,10147,4118,6029,7608,1650,123,887,18,182,1400000,48453000601
5,4029,2107,1922,3762,41,29,243,0,0,1400000,48453001303
6,4351,2440,1911,4200,27,58,155,0,65,1400000,48453001304
7,5413,2725,2688,5226,59,19,118,0,67,1400000,48453001501
8,4448,2000,2448,3805,326,48,160,0,361,1400000,48453001713
9,4650,2286,2364,4175,26,44,376,0,130,1400000,48453001729
10,4158,2190,1968,3747,157,0,258,0,107,1400000,48453001733
11,5112,2625,2487,3565,929,0,285,16,391,1400000,48453002314
12,6828,3370,3458,5258,619,128,11,0,1092,1400000,48453002411
13,5075,2504,2571,4840,17,18,194,8,115,1400000,48453001603
14,4041,1974,2067,3854,11,10,92,0,84,1400000,48453001605
15,3641,1849,1792,3269,198,65,133,0,45,1400000,48453001706
16,6839,3212,3627,6530,161,91,376,0,35,1400000,48453001738
17,2211,1131,1080,1990,56,0,220,0,0,1400000,48453001757
18,4193,2371,1822,2597,174,45,290,0,1087,1400000,48453001819
19,2470,1225,1245,2200,29,0,252,0,5,1400000,48453001846
20,7346,3332,4014,7146,67,45,88,22,157,1400000,48453001764
21,6075,2793,3282,5827,99,0,281,79,0,1400000,48453001742
22,7350,3651,3699,6810,76,114,507,199,67,1400000,48453001761
23,9182,4271,4911,8620,186,122,508,0,14,1400000,48453001768
24,7137,3809,3328,4525,647,224,0,15,1751,1400000,48453001806
25,3626,2024,1602,1906,503,156,29,0,1061,1400000,48453001811
26,1704,839,865,1290,130,33,199,0,113,1400000,48453001824
27,9379,5163,4216,5620,1249,154,156,0,2383,1400000,48453001833
28,6408,3021,3387,4678,1007,86,555,0,534,1400000,48453001835
29,11718,5763,5955,7728,2054,264,930,0,1284,1400000,48453001840
30,3946,1884,2062,3255,383,26,229,0,136,1400000,48453001850
31,3351,1691,1660,2627,303,0,249,9,275,1400000,48453001853
32,4061,1970,2091,3680,248,55,48,0,73,1400000,48453002003
33,4538,2160,2378,2858,1274,34,105,0,447,1400000,48453002107
34,5586,2761,2825,3857,993,130,101,0,736,1400000,48453002111
35,3657,2195,1462,3100,234,9,274,10,140,1400000,48453002304
36,3530,1896,1634,3351,86,62,30,0,114,1400000,48453002409
37,4253,2313,1940,3830,195,47,147,0,197,1400000,48453002410
38,4773,2282,2491,3091,804,281,145,0,609,1400000,48453002419
39,10292,4975,5317,8782,985,42,609,68,296,1400000,48453002421
40,2489,1595,894,2018,349,28,122,0,71,1400000,48453000803
41,4972,2451,2521,4379,106,59,436,18,35,1400000,48453001200
42,3989,2219,1770,3375,166,44,225,0,297,1400000,48453001503
43,3277,1869,1408,2211,32,25,1049,0,6,1400000,48453001602
44,4945,2273,2672,4509,321,58,59,29,74,1400000,48453001712
45,4244,2025,2219,3750,190,18,342,0,38,1400000,48453001746
46,6507,3460,3047,4537,274,24,1729,0,91,1400000,48453001749
47,2164,974,1190,1989,117,0,31,0,46,1400000,48453001751
48,11174,5001,6173,9007,1426,84,137,0,1081,1400000,48453002426
49,2885,1383,1502,1763,507,34,83,19,606,1400000,48453002211
50,4869,2286,2583,3765,531,0,508,9,155,1400000,48453000306
51,4289,2144,2145,3961,116,51,179,0,59,1400000,48453001771
52,8185,3866,4319,7109,237,72,918,104,116,1400000,48453001773
53,3474,1831,1643,2052,898,77,383,0,295,1400000,48453001863
54,7236,3844,3392,4347,1041,116,378,0,1626,1400000,48453001813
55,2428,1342,1086,2069,125,14,285,6,63,1400000,48453001829
56,11597,5883,5714,7229,2044,28,905,0,1960,1400000,48453001842
57,3620,1844,1776,2875,464,29,128,0,183,1400000,48453001844
58,3918,1881,2037,3460,25,17,494,0,58,1400000,48453001912
59,4962,2678,2284,3071,789,67,139,21,1160,1400000,48453002105
60,3894,1694,2200,2022,1771,47,54,0,43,1400000,48453002109
61,6851,3761,3090,6021,359,228,247,0,152,1400000,48453002308
62,4388,2178,2210,3354,855,68,103,13,150,1400000,48453002313
63,6312,2961,3351,5374,708,163,696,0,26,1400000,48453001716
64,5037,2526,2511,4672,237,27,235,0,31,1400000,48453001754
65,5691,2710,2981,5268,78,65,433,17,18,1400000,48453001769
66,3982,1899,2083,3493,23,0,334,0,301,1400000,48453001817
67,2622,1338,1284,1567,303,131,484,0,282,1400000,48453001826
68,5031,2396,2635,3382,640,96,1088,0,109,1400000,48453001848
69,4621,2328,2293,4062,110,7,417,0,122,1400000,48453001910
70,3141,1391,1750,2712,43,19,376,0,52,1400000,48453001911
71,5446,2618,2828,4897,171,46,290,0,109,1400000,48453002005
72,9314,4460,4854,4929,2692,46,232,12,1792,1400000,48453002202
73,2764,1497,1267,2510,122,13,19,0,143,1400000,48453002403
74,5283,2916,2367,3199,181,93,1831,12,245,1400000,48453001786
75,5518,2756,2762,4780,290,35,540,0,176,1400000,48453002500
76,5402,2716,2686,3496,216,9,1879,0,84,1400000,48453001782
77,4540,2285,2255,2464,1245,62,107,0,733,1400000,48453002110
78,3134,1915,1219,2651,83,12,60,0,374,1400000,48453002315
79,8671,5061,3610,5793,1841,157,881,0,538,1400000,48453002318
80,1786,856,930,1663,96,0,81,0,26,1400000,48453000307
81,3937,2114,1823,3185,160,47,437,62,143,1400000,48453000205
82,3666,1776,1890,3308,110,8,140,7,166,1400000,48453000305
83,3292,1615,1677,2938,171,16,181,29,79,1400000,48453000206
84,5406,2666,2740,4998,40,40,454,129,85,1400000,48453001783
85,1687,755,932,1446,57,60,218,0,35,1400000,48453001915
86,4401,2088,2313,4326,72,34,37,0,21,1400000,48453001778
87,6270,3355,2915,5439,392,31,411,0,219,1400000,48453001777
88,12934,6499,6435,11374,271,137,1550,0,122,1400000,48453001770
89,6993,3665,3328,5960,216,65,805,27,161,1400000,48453001775
90,4389,2239,2150,3797,118,0,250,0,352,1400000,48453001772
91,7337,3891,3446,6602,418,28,130,31,292,1400000,48453002428
92,2826,1450,1376,1904,702,93,260,0,16,1400000,48453001864
93,4946,2662,2284,3556,447,38,1170,0,51,1400000,48453001785
94,2491,1125,1366,2015,12,46,448,23,0,1400000,48453001781
95,4152,2041,2111,4044,145,45,61,13,37,1400000,48453001780
96,6007,2898,3109,4863,18,26,1098,0,106,1400000,48453001784
97,3809,1888,1921,3590,0,35,341,0,22,1400000,48453001919
98,2536,1360,1176,2463,1,7,139,0,7,1400000,48453001918
99,3131,1584,1547,2753,50,16,372,0,33,1400000,48453001916
100,4978,2506,2472,4537,0,40,352,141,19,1400000,48453001917
101,5069,2436,2633,3319,902,37,888,14,174,1400000,48453001861
102,4464,2166,2298,3367,656,51,299,0,371,1400000,48453001860
103,8421,4444,3977,5197,2036,96,682,75,683,1400000,48453001856
104,8462,4410,4052,4591,776,336,341,0,2632,1400000,48453002435
105,2147,1781,366,1305,712,34,10,0,113,1400000,48453002319
106,3029,1565,1464,2729,22,0,201,0,88,1400000,48453000304
