,Year_bp,StateAbbr_bp,StateDesc_bp,CityName_bp,GeographicLevel_bp,Category_bp,UniqueID_bp,Measure_bp,PopulationCount_bp,GeoLocation_bp,MeasureId_bp,Census Tract,Lat_bp,Lng_bp,Year_chol,StateAbbr_chol,StateDesc_chol,CityName_chol,GeographicLevel_chol,Category_chol,UniqueID_chol,Measure_chol,PopulationCount_chol,GeoLocation_chol,MeasureId_chol,Lat_chol,Lng_chol,Year_dbt,StateAbbr_dbt,StateDesc_dbt,CityName_dbt,GeographicLevel_dbt,Category_dbt,UniqueID_dbt,Measure_dbt,PopulationCount_dbt,GeoLocation_dbt,MeasureId_dbt,Lat_dbt,Lng_dbt,Year_obs,StateAbbr_obs,StateDesc_obs,CityName_obs,GeographicLevel_obs,Category_obs,UniqueID_obs,Measure_obs,PopulationCount_obs,GeoLocation_obs,MeasureId_obs,Lat_obs,Lng_obs,Total 18+ Population,Total 18+ Male Population,Total Male 18 to 24 years,Total Male 18 to 24 years Less than 9th grade,"Total Male 18 to 24 years 9th to 12th grade, no diploma",Total Male 18 to 24 years High school graduate,"Total Male 18 to 24 years Some college, no degree",Total Male 18 to 24 years Associate's degree,Total Male 18 to 24 years Bachelor's degree,Total Male 18 to 24 years Graduate or professional degree,Total Male 25 to 34 years,Total Male 25 to 34 years Less than 9th grade,"Total Male 25 to 34 years 9th to 12th grade, no diploma",Total Male 25 to 34 years High school graduate,"Total Male 25 to 34 years Some college, no degree",Total Male 25 to 34 years Associate's degree,Total Male 25 to 34 years Bachelor's degree,Total Male 25 to 34 years Graduate or professional degree,Total Male 35 to 44 years,Total Male 35 to 44 years Less than 9th grade,"Total Male 35 to 44 years 9th to 12th grade, no diploma",Total Male 35 to 44 years High school graduate,"Total Male 35 to 44 years Some college, no degree",Total Male 35 to 44 years Associate's degree,Total Male 35 to 44 years Bachelor's degree,Total Male 35 to 44 years Graduate or professional degree,Total Male 45 to 64 years,Total Male 45 to 64 years Less than 9th grade,"Total Male 45 to 64 years 9th to 12th grade, no diploma",Total Male 45 to 64 years High school graduate,"Total Male 45 to 64 years Some college, no degree",Total Male 45 to 64 years Associate's degree,Total Male 45 to 64 years Bachelor's degree,Total Male 45 to 64 years Graduate or professional degree,Total Male 65 years and over,Total Male 65 years and over Less than 9th grade,"Total Male 65 years and over 9th to 12th grade, no diploma",Total Male 65 years and over High school graduate,"Total Male 65 years and over Some college, no degree",Total Male 65 years and over Associate's degree,Total Male 65 years and over Bachelor's degree,Total Male 65 years and over Graduate or professional degree,Total 18+ Female Population,Total Female 18 to 24 years,Total Female 18 to 24 years Less than 9th grade,"Total Female 18 to 24 years 9th to 12th grade, no diploma",Total Female 18 to 24 years High school graduate,"Total Female 18 to 24 years Some college, no degree",Total Female 18 to 24 years Associate's degree,Total Female 18 to 24 years Bachelor's degree,Total Female 18 to 24 years Graduate or professional degree,Total Female 25 to 34 years,Total Female 25 to 34 years Less than 9th grade,"Total Female 25 to 34 years 9th to 12th grade, no diploma",Total Female 25 to 34 years High school graduate,"Total Female 25 to 34 years Some college, no degree",Total Female 25 to 34 years Associate's degree,Total Female 25 to 34 years Bachelor's degree,Total Female 25 to 34 years Graduate or professional degree,Total Female 35 to 44 years,Total Female 35 to 44 years Less than 9th grade,"Total Female 35 to 44 years 9th to 12th grade, no diploma",Total Female 35 to 44 years High school graduate,"Total Female 35 to 44 years Some college, no degree",Total Female 35 to 44 years Associate's degree,Total Female 35 to 44 years Bachelor's degree,Total Female 35 to 44 years Graduate or professional degree,Total Female 45 to 64 years,Total Female 45 to 64 years Less than 9th grade,"Total Female 45 to 64 years 9th to 12th grade, no diploma",Total Female 45 to 64 years High school graduate,"Total Female 45 to 64 years Some college, no degree",Total Female 45 to 64 years Associate's degree,Total Female 45 to 64 years Bachelor's degree,Total Female 45 to 64 years Graduate or professional degree,Total Female 65 years and over,Total Female 65 years and over Less than 9th grade,"Total Female 65 years and over 9th to 12th grade, no diploma",Total Female 65 years and over High school graduate,"Total Female 65 years and over Some college, no degree",Total Female 65 years and over Associate's degree,Total Female 65 years and over Bachelor's degree,Total Female 65 years and over Graduate or professional degree,GEO_ID_x,Total Households,"Income < $10,000","Income $10,000-$14,999","Income $15,000-$24,999","Income $25,000-$34,999","Income $35,000-$49,999","Income $50,000-$74,999","Income $75,000-$99,999","Income $100,000-$149,999","Income $150,000-$199,999","Income > $200,000",Median Income (dollars),Mean Income (dollars),GEO_ID_y,Total Population,Total Male,Total Female,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander population,Some Other Race Population,GEO_ID
0,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000604,High blood pressure among adults aged >=18 Years,6496,"(30.2855339039, -97.7477273854)",BPHIGH,48453000604,30.2855339039,-97.74772738540001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000604,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,6496,"(30.2855339039, -97.7477273854)",HIGHCHOL,30.2855339039,-97.74772738540001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000604,Diagnosed diabetes among adults aged >=18 Years,"6,496","(30.2855339039, -97.7477273854)",DIABETES,30.2855339039,-97.74772738540001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000604,Obesity among adults aged >=18 Years,"6,496","(30.2855339039, -97.7477273854)",OBESITY,30.2855339039,-97.74772738540001,7064,3688,3351,0,12,270,2863,28,170,8,264,45,5,0,41,0,156,17,14,0,0,0,0,0,14,0,48,0,0,0,20,14,0,14,11,0,0,0,0,0,0,11,3376,2924,0,0,352,2395,40,122,15,286,4,0,83,7,0,156,36,44,0,0,0,15,0,0,29,122,0,4,52,29,0,23,14,0,0,0,0,0,0,0,0,1400000,1616,54.5,13.1,16.5,0.7,4.4,5.9,0.6,2.9,0.6,0.9,8975,19236,1400000,7140,3755,3385,4976,304,76,1824,8,151,1400000
1,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002113,High blood pressure among adults aged >=18 Years,3571,"(30.3170432569, -97.6725319322)",BPHIGH,48453002113,30.3170432569,-97.67253193219999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002113,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,3571,"(30.3170432569, -97.6725319322)",HIGHCHOL,30.3170432569,-97.67253193219999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002113,Diagnosed diabetes among adults aged >=18 Years,"3,571","(30.3170432569, -97.6725319322)",DIABETES,30.3170432569,-97.67253193219999,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002113,Obesity among adults aged >=18 Years,"3,571","(30.3170432569, -97.6725319322)",OBESITY,30.3170432569,-97.67253193219999,2968,1675,121,12,28,50,27,0,4,0,401,15,39,81,73,8,142,43,392,11,40,87,36,8,124,86,565,48,27,125,109,56,132,68,196,0,35,22,36,18,52,33,1293,89,0,37,0,36,0,4,12,274,0,37,34,58,15,92,38,174,9,25,0,29,23,57,31,510,77,48,85,95,62,100,43,246,6,22,27,70,25,52,44,1400000,1380,9.2,3.7,5.6,9.1,12.9,20.0,17.1,13.2,4.9,4.3,62198,74111,1400000,3608,1881,1727,2711,745,39,76,13,134,1400000
2,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001718,High blood pressure among adults aged >=18 Years,5442,"(30.3483038697, -97.7610247766)",BPHIGH,48453001718,30.348303869699997,-97.7610247766,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001718,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,5442,"(30.3483038697, -97.7610247766)",HIGHCHOL,30.348303869699997,-97.7610247766,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001718,Diagnosed diabetes among adults aged >=18 Years,"5,442","(30.3483038697, -97.7610247766)",DIABETES,30.348303869699997,-97.7610247766,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001718,Obesity among adults aged >=18 Years,"5,442","(30.3483038697, -97.7610247766)",OBESITY,30.348303869699997,-97.7610247766,5188,2636,72,0,0,0,35,0,37,0,1048,0,13,21,118,70,304,522,322,0,0,0,63,0,167,92,824,20,0,15,90,27,246,426,370,0,0,12,38,13,166,141,2552,382,0,0,1,164,0,217,0,589,0,0,28,50,26,245,240,272,0,0,1,61,0,111,99,847,0,1,28,126,57,450,185,462,0,12,127,97,17,121,88,1400000,2914,2.9,4.4,3.3,6.8,14.3,16.8,11.2,18.1,6.8,15.5,77045,115912,1400000,6176,3181,2995,5293,226,11,607,0,149,1400000
3,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001908,High blood pressure among adults aged >=18 Years,5177,"(30.2673616151, -97.8917527564)",BPHIGH,48453001908,30.267361615100004,-97.8917527564,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001908,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,5177,"(30.2673616151, -97.8917527564)",HIGHCHOL,30.267361615100004,-97.8917527564,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001908,Diagnosed diabetes among adults aged >=18 Years,"5,177","(30.2673616151, -97.8917527564)",DIABETES,30.267361615100004,-97.8917527564,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001908,Obesity among adults aged >=18 Years,"5,177","(30.2673616151, -97.8917527564)",OBESITY,30.267361615100004,-97.8917527564,7017,3591,208,0,24,29,71,0,84,0,1050,0,112,31,241,26,420,220,517,46,0,60,69,24,253,65,1147,11,26,122,208,72,295,413,669,6,26,70,69,11,209,278,3426,143,0,0,42,58,9,9,25,589,78,0,75,68,16,287,65,737,45,0,54,44,20,424,150,1253,14,46,109,173,19,472,420,704,16,3,152,128,14,256,135,1400000,3614,3.0,2.8,5.0,4.6,3.4,13.9,13.3,13.4,11.8,28.7,110833,172758,1400000,9583,4880,4703,8291,401,25,825,0,54,1400000
4,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002212,High blood pressure among adults aged >=18 Years,331,"(30.3101329564, -97.5916015422)",BPHIGH,48453002212,30.3101329564,-97.5916015422,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002212,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,331,"(30.3101329564, -97.5916015422)",HIGHCHOL,30.3101329564,-97.5916015422,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002212,Diagnosed diabetes among adults aged >=18 Years,331,"(30.3101329564, -97.5916015422)",DIABETES,30.3101329564,-97.5916015422,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002212,Obesity among adults aged >=18 Years,331,"(30.3101329564, -97.5916015422)",OBESITY,30.3101329564,-97.5916015422,739,377,92,0,5,49,38,0,0,0,55,0,0,13,27,15,0,0,121,5,27,12,9,23,33,12,97,20,0,16,35,21,0,5,12,0,7,0,5,0,0,0,362,67,0,13,0,54,0,0,0,83,0,18,0,38,17,10,0,88,5,0,31,12,17,23,0,111,22,0,13,27,41,0,8,13,4,0,9,0,0,0,0,1400000,265,0.0,0.0,1.9,12.8,5.3,29.1,27.5,17.7,1.5,4.2,75368,81618,1400000,1043,514,529,469,499,23,0,0,115,1400000
5,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000306,High blood pressure among adults aged >=18 Years,2697,"(30.2971560125, -97.7002733875)",BPHIGH,48453000306,30.2971560125,-97.7002733875,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000306,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2697,"(30.2971560125, -97.7002733875)",HIGHCHOL,30.2971560125,-97.7002733875,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000306,Diagnosed diabetes among adults aged >=18 Years,"2,697","(30.2971560125, -97.7002733875)",DIABETES,30.2971560125,-97.7002733875,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000306,Obesity among adults aged >=18 Years,"2,697","(30.2971560125, -97.7002733875)",OBESITY,30.2971560125,-97.7002733875,3952,1846,106,0,0,32,32,0,37,5,528,0,0,70,48,29,229,152,495,0,0,67,6,9,217,196,591,26,37,72,105,8,121,222,126,0,17,0,0,31,31,47,2106,436,0,50,32,215,0,133,6,536,0,39,39,61,18,162,217,438,0,0,33,71,0,111,223,458,10,0,53,81,67,71,176,238,0,0,26,58,0,85,69,1400000,2211,7.8,2.6,10.5,7.2,8.1,14.7,10.3,13.1,8.0,17.6,73875,107923,1400000,4869,2286,2583,3765,531,0,508,9,155,1400000
6,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002106,High blood pressure among adults aged >=18 Years,3027,"(30.3067312672, -97.690303652)",BPHIGH,48453002106,30.306731267199996,-97.69030365200001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002106,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,3027,"(30.3067312672, -97.690303652)",HIGHCHOL,30.306731267199996,-97.69030365200001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002106,Diagnosed diabetes among adults aged >=18 Years,"3,027","(30.3067312672, -97.690303652)",DIABETES,30.306731267199996,-97.69030365200001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002106,Obesity among adults aged >=18 Years,"3,027","(30.3067312672, -97.690303652)",OBESITY,30.306731267199996,-97.69030365200001,2328,1088,98,0,0,62,25,0,11,0,258,0,0,80,0,10,151,17,318,71,0,102,24,0,52,69,302,0,44,30,39,47,82,60,112,44,0,12,0,0,17,39,1240,36,0,0,0,30,0,6,0,193,0,22,17,0,22,79,53,281,35,0,55,47,2,105,37,407,0,13,132,67,0,109,86,323,21,28,89,47,26,46,66,1400000,1164,8.3,5.5,10.7,4.5,11.4,19.0,8.8,20.1,8.5,3.2,52071,77458,1400000,2906,1386,1520,2459,217,120,50,28,200,1400000
7,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001777,High blood pressure among adults aged >=18 Years,5535,"(30.2047085014, -97.849773064)",BPHIGH,48453001777,30.2047085014,-97.84977306399999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001777,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,5535,"(30.2047085014, -97.849773064)",HIGHCHOL,30.2047085014,-97.84977306399999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001777,Diagnosed diabetes among adults aged >=18 Years,"5,535","(30.2047085014, -97.849773064)",DIABETES,30.2047085014,-97.84977306399999,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001777,Obesity among adults aged >=18 Years,"5,535","(30.2047085014, -97.849773064)",OBESITY,30.2047085014,-97.84977306399999,4951,2349,179,0,0,36,137,0,6,0,789,0,80,139,208,0,308,54,490,0,0,59,95,32,180,124,702,0,0,121,100,22,272,187,189,0,0,87,32,24,33,13,2602,177,0,30,24,84,0,39,0,1123,0,31,192,236,66,506,92,299,0,0,0,108,32,77,82,734,0,24,134,95,107,312,62,269,0,1,80,39,95,42,12,1400000,2351,2.9,1.1,4.5,4.8,10.5,17.4,21.2,29.8,6.7,1.1,86683,86002,1400000,6270,3355,2915,5439,392,31,411,0,219,1400000
8,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001834,High blood pressure among adults aged >=18 Years,6723,"(30.3530097713, -97.6626570933)",BPHIGH,48453001834,30.3530097713,-97.6626570933,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001834,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,6723,"(30.3530097713, -97.6626570933)",HIGHCHOL,30.3530097713,-97.6626570933,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001834,Diagnosed diabetes among adults aged >=18 Years,"6,723","(30.3530097713, -97.6626570933)",DIABETES,30.3530097713,-97.6626570933,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001834,Obesity among adults aged >=18 Years,"6,723","(30.3530097713, -97.6626570933)",OBESITY,30.3530097713,-97.6626570933,8132,3753,432,0,66,212,129,15,10,0,1210,0,33,182,336,29,236,394,834,13,0,134,213,34,304,136,974,58,34,215,234,67,209,157,303,30,0,136,14,32,40,51,4379,490,0,68,164,216,9,33,0,1375,0,42,207,289,115,504,218,1050,107,93,114,232,65,327,112,1083,55,42,339,284,107,180,76,381,52,19,107,117,25,29,32,1400000,4053,4.4,1.7,5.7,8.3,16.2,27.6,10.7,16.1,3.5,5.7,59356,88316,1400000,10374,4949,5425,5622,2125,264,1769,121,1074,1400000
9,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002407,High blood pressure among adults aged >=18 Years,1964,"(30.1453252695, -97.8023837128)",BPHIGH,48453002407,30.1453252695,-97.80238371280001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002407,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1964,"(30.1453252695, -97.8023837128)",HIGHCHOL,30.1453252695,-97.80238371280001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002407,Diagnosed diabetes among adults aged >=18 Years,"1,964","(30.1453252695, -97.8023837128)",DIABETES,30.1453252695,-97.80238371280001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002407,Obesity among adults aged >=18 Years,"1,964","(30.1453252695, -97.8023837128)",OBESITY,30.1453252695,-97.80238371280001,4770,2337,228,0,0,124,87,0,17,0,421,0,0,64,65,3,268,21,531,14,0,182,76,0,250,9,794,27,40,308,108,80,141,90,363,0,3,19,63,58,106,114,2433,185,0,0,74,45,19,47,0,618,30,39,122,199,7,172,49,328,9,0,19,154,14,116,16,825,86,72,275,229,9,100,54,477,65,3,65,131,18,69,126,1400000,2352,5.4,0.8,2.9,6.8,13.1,13.8,20.2,25.0,6.3,5.8,83824,95882,1400000,5781,2885,2896,4987,222,148,235,16,320,1400000
